Algorithm,N,S,R%,Parity,PayloadBytes,MeanEncSec,MeanDecSec,EncPerByte(s),DecPerByte(s)
XOR,10,64,10.0,1,640,0.000000665,0.000000090,1.039583333e-09,1.401041667e-10
ReedSolomon,10,64,10.0,1,640,0.000012828,0.000008190,2.004427083e-08,1.279739583e-08
RaptorQ,10,64,10.0,1,640,0.000031238,0.000029203,4.880885417e-08,4.563020833e-08
XOR,10,64,20.0,2,640,0.000001122,0.000000110,1.752604167e-09,1.713541667e-10
ReedSolomon,10,64,20.0,2,640,0.000012807,0.000008054,2.001145833e-08,1.258437500e-08
RaptorQ,10,64,20.0,2,640,0.000059177,0.000051248,9.246406250e-08,8.007447917e-08
XOR,10,64,30.0,3,640,0.000003670,0.000000337,5.733854167e-09,5.265625000e-10
ReedSolomon,10,64,30.0,3,640,0.000020765,0.000021118,3.244583333e-08,3.299687500e-08
RaptorQ,10,64,30.0,3,640,0.000060954,0.000056856,9.524062500e-08,8.883750000e-08
XOR,10,64,40.0,4,640,0.000005019,0.000000453,7.841666667e-09,7.078125000e-10
ReedSolomon,10,64,40.0,4,640,0.000025566,0.000019043,3.994687500e-08,2.975520833e-08
RaptorQ,10,64,40.0,4,640,0.000060723,0.000058990,9.488020833e-08,9.217239583e-08
XOR,10,64,50.0,5,640,0.000006597,0.000000542,1.030833333e-08,8.463541667e-10
ReedSolomon,10,64,50.0,5,640,0.000021839,0.000026106,3.412291667e-08,4.079062500e-08
RaptorQ,10,64,50.0,5,640,0.000056868,0.000067382,8.885625000e-08,1.052838542e-07
XOR,10,92,10.0,1,920,0.000002186,0.000000161,2.376086957e-09,1.753623188e-10
ReedSolomon,10,92,10.0,1,920,0.000018657,0.000021727,2.027934783e-08,2.361666667e-08
RaptorQ,10,92,10.0,1,920,0.000077033,0.000084866,8.373152174e-08,9.224565217e-08
XOR,10,92,20.0,2,920,0.000004317,0.000000344,4.692753623e-09,3.739130435e-10
ReedSolomon,10,92,20.0,2,920,0.000033434,0.000021207,3.634166667e-08,2.305072464e-08
RaptorQ,10,92,20.0,2,920,0.000092617,0.000083630,1.006702899e-07,9.090253623e-08
XOR,10,92,30.0,3,920,0.000006372,0.000000506,6.925724638e-09,5.496376812e-10
ReedSolomon,10,92,30.0,3,920,0.000027326,0.000023064,2.970181159e-08,2.506992754e-08
RaptorQ,10,92,30.0,3,920,0.000085303,0.000095441,9.272101449e-08,1.037402174e-07
XOR,10,92,40.0,4,920,0.000013411,0.000000702,1.457681159e-08,7.626811594e-10
ReedSolomon,10,92,40.0,4,920,0.000036920,0.000034959,4.013079710e-08,3.799927536e-08
RaptorQ,10,92,40.0,4,920,0.000088712,0.000092979,9.642572464e-08,1.010637681e-07
XOR,10,92,50.0,5,920,0.000012085,0.000000881,1.313586957e-08,9.579710145e-10
ReedSolomon,10,92,50.0,5,920,0.000037194,0.000033085,4.042862319e-08,3.596195652e-08
RaptorQ,10,92,50.0,5,920,0.000106635,0.000098484,1.159076087e-07,1.070481884e-07
XOR,10,120,10.0,1,1200,0.000001102,0.000000056,9.180555556e-10,4.694444444e-11
ReedSolomon,10,120,10.0,1,1200,0.000009289,0.000019440,7.741111111e-09,1.620000000e-08
RaptorQ,10,120,10.0,1,1200,0.000032486,0.000032590,2.707138889e-08,2.715833333e-08
XOR,10,120,20.0,2,1200,0.000002103,0.000000141,1.752500000e-09,1.177777778e-10
ReedSolomon,10,120,20.0,2,1200,0.000009498,0.000008544,7.915000000e-09,7.120000000e-09
RaptorQ,10,120,20.0,2,1200,0.000032803,0.000030162,2.733555556e-08,2.513527778e-08
XOR,10,120,30.0,3,1200,0.000003859,0.000000217,3.215833333e-09,1.805555556e-10
ReedSolomon,10,120,30.0,3,1200,0.000008933,0.000008606,7.443888889e-09,7.171388889e-09
RaptorQ,10,120,30.0,3,1200,0.000031335,0.000029491,2.611250000e-08,2.457555556e-08
XOR,10,120,40.0,4,1200,0.000004934,0.000000298,4.111666667e-09,2.483333333e-10
ReedSolomon,10,120,40.0,4,1200,0.000010371,0.000009152,8.642777778e-09,7.626388889e-09
RaptorQ,10,120,40.0,4,1200,0.000032121,0.000031335,2.676777778e-08,2.611277778e-08
XOR,10,120,50.0,5,1200,0.000005110,0.000001093,4.258055556e-09,9.111111111e-10
ReedSolomon,10,120,50.0,5,1200,0.000012390,0.000008362,1.032527778e-08,6.968333333e-09
RaptorQ,10,120,50.0,5,1200,0.000032080,0.000030519,2.673333333e-08,2.543222222e-08
XOR,10,250,10.0,1,2500,0.000002626,0.000000383,1.050400000e-09,1.530666667e-10
ReedSolomon,10,250,10.0,1,2500,0.000008091,0.000011408,3.236533333e-09,4.563066667e-09
RaptorQ,10,250,10.0,1,2500,0.000058013,0.000079878,2.320520000e-08,3.195120000e-08
XOR,10,250,20.0,2,2500,0.000004147,0.000000226,1.658933333e-09,9.040000000e-11
ReedSolomon,10,250,20.0,2,2500,0.000010783,0.000011885,4.313333333e-09,4.754000000e-09
RaptorQ,10,250,20.0,2,2500,0.000053701,0.000105842,2.148053333e-08,4.233680000e-08
XOR,10,250,30.0,3,2500,0.000007409,0.000000385,2.963600000e-09,1.538666667e-10
ReedSolomon,10,250,30.0,3,2500,0.000011138,0.000007728,4.455333333e-09,3.091066667e-09
RaptorQ,10,250,30.0,3,2500,0.000040469,0.000042912,1.618746667e-08,1.716493333e-08
XOR,10,250,40.0,4,2500,0.000005652,0.000000700,2.260933333e-09,2.798666667e-10
ReedSolomon,10,250,40.0,4,2500,0.000008127,0.000007027,3.250800000e-09,2.810933333e-09
RaptorQ,10,250,40.0,4,2500,0.000032434,0.000028187,1.297373333e-08,1.127480000e-08
XOR,10,250,50.0,5,2500,0.000006484,0.000000433,2.593466667e-09,1.733333333e-10
ReedSolomon,10,250,50.0,5,2500,0.000006747,0.000005536,2.698933333e-09,2.214266667e-09
RaptorQ,10,250,50.0,5,2500,0.000020454,0.000018425,8.181600000e-09,7.370000000e-09
XOR,10,512,10.0,1,5120,0.000002441,0.000000066,4.766927083e-10,1.289062500e-11
ReedSolomon,10,512,10.0,1,5120,0.000005171,0.000004536,1.009895833e-09,8.859375000e-10
RaptorQ,10,512,10.0,1,5120,0.000035365,0.000036851,6.907226563e-09,7.197395833e-09
XOR,10,512,20.0,2,5120,0.000008654,0.000000546,1.690234375e-09,1.065755208e-10
ReedSolomon,10,512,20.0,2,5120,0.000009696,0.000007858,1.893815104e-09,1.534830729e-09
RaptorQ,10,512,20.0,2,5120,0.000046828,0.000063028,9.146158854e-09,1.231015625e-08
XOR,10,512,30.0,3,5120,0.000012602,0.000000891,2.461328125e-09,1.739583333e-10
